                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1701,                  2.809,                0.99239,                0.00333,                      1,                0.95551,                0.57573,                 0.9376,                 3.5509,                0.85496,             0.00065116,             0.00065116,             0.00065116
                      2,                0.92822,                 1.3626,                0.89266,                0.00333,                      1,                0.29195,                0.17525,                0.94754,                 3.3761,                0.89509,              0.0012917,              0.0012917,              0.0012917
                      3,                0.94035,                 1.1957,                0.91046,                 0.9985,                      1,                  0.995,                0.74072,                0.84257,                 1.5513,                0.87664,              0.0019059,              0.0019059,              0.0019059
                      4,                0.86226,                0.93047,                0.89441,                      1,                0.99999,                  0.995,                0.75647,                0.85426,                0.97948,                0.87507,              0.0018812,              0.0018812,              0.0018812
                      5,                0.78998,                0.79947,                 0.8769,                0.99923,                      1,                  0.995,                0.81628,                0.75649,                0.80361,                0.84164,              0.0018416,              0.0018416,              0.0018416
                      6,                0.79166,                0.74366,                0.87756,                 0.9996,                      1,                  0.995,                0.77612,                0.86405,                0.73203,                0.87972,               0.001802,               0.001802,               0.001802
                      7,                0.78608,                 0.6685,                0.87865,                0.99628,                      1,                  0.995,                0.75009,                 0.8273,                0.73961,                0.85749,              0.0017624,              0.0017624,              0.0017624
                      8,                0.68399,                0.58683,                 0.8552,                0.99962,                      1,                  0.995,                0.80185,                0.74257,                0.54221,                0.84831,              0.0017228,              0.0017228,              0.0017228
                      9,                0.72235,                0.56401,                 0.8622,                0.99896,                      1,                  0.995,                0.82831,                0.68536,                0.55539,                0.85056,              0.0016832,              0.0016832,              0.0016832
                     10,                0.69955,                0.53418,                0.86712,                0.99914,                      1,                  0.995,                0.82054,                0.71871,                0.51581,                0.85122,              0.0016436,              0.0016436,              0.0016436
                     11,                0.70989,                0.51873,                0.86254,                0.99976,                      1,                  0.995,                0.78772,                0.81191,                0.50668,                0.85347,               0.001604,               0.001604,               0.001604
                     12,                0.64517,                0.48036,                0.84873,                0.99973,                      1,                  0.995,                0.82211,                0.70047,                0.45544,                0.85927,              0.0015644,              0.0015644,              0.0015644
                     13,                0.67928,                 0.4857,                0.85903,                0.99971,                      1,                  0.995,                0.83198,                0.70857,                0.46572,                 0.8515,              0.0015248,              0.0015248,              0.0015248
                     14,                0.65796,                0.46349,                0.84998,                0.99615,                      1,                  0.995,                0.81922,                0.66624,                0.44075,                0.83755,              0.0014852,              0.0014852,              0.0014852
                     15,                0.64067,                0.45263,                0.84548,                 0.9992,                      1,                  0.995,                0.84845,                0.60609,                0.41453,                0.83265,              0.0014456,              0.0014456,              0.0014456
                     16,                0.61369,                0.43056,                0.84622,                0.99966,                      1,                  0.995,                0.86035,                0.63385,                0.42175,                0.83232,               0.001406,               0.001406,               0.001406
                     17,                0.58976,                0.41683,                0.83888,                0.99935,                      1,                  0.995,                0.84309,                0.63077,                0.41397,                0.82621,              0.0013664,              0.0013664,              0.0013664
                     18,                0.59854,                0.41605,                0.84306,                0.99871,                      1,                  0.995,                0.82895,                0.63364,                0.43898,                0.84516,              0.0013268,              0.0013268,              0.0013268
                     19,                0.62401,                0.42464,                0.83942,                0.99735,                      1,                  0.995,                0.85537,                0.61778,                0.39053,                0.83607,              0.0012872,              0.0012872,              0.0012872
                     20,                0.60687,                0.41619,                0.84448,                0.99833,                      1,                  0.995,                0.83591,                0.62981,                0.39887,                0.84116,              0.0012476,              0.0012476,              0.0012476
                     21,                0.59148,                0.39826,                0.83945,                 0.9994,                      1,                  0.995,                0.84817,                0.64188,                0.37077,                0.83985,               0.001208,               0.001208,               0.001208
                     22,                0.61206,                0.40618,                0.85021,                0.99973,                      1,                  0.995,                0.84845,                0.60721,                0.36456,                0.84351,              0.0011684,              0.0011684,              0.0011684
                     23,                0.57975,                0.39182,                0.84429,                0.99977,                      1,                  0.995,                 0.8537,                0.59838,                0.35713,                0.82693,              0.0011288,              0.0011288,              0.0011288
                     24,                0.58657,                0.39555,                0.83981,                0.99573,                      1,                0.99497,                0.87309,                 0.5459,                0.34652,                0.82939,              0.0010892,              0.0010892,              0.0010892
                     25,                0.59848,                0.39526,                0.83994,                 0.9964,                      1,                  0.995,                0.84864,                0.63259,                0.36157,                0.83071,              0.0010496,              0.0010496,              0.0010496
                     26,                0.57609,                0.37771,                0.83868,                0.99975,                      1,                  0.995,                0.84639,                0.60637,                0.36325,                0.83362,                0.00101,                0.00101,                0.00101
                     27,                0.57833,                 0.3732,                0.83963,                0.99973,                      1,                  0.995,                0.87036,                0.60879,                0.33124,                0.83166,              0.0009704,              0.0009704,              0.0009704
                     28,                0.55776,                0.35904,                0.83205,                0.99973,                      1,                  0.995,                0.88589,                0.52909,                0.33874,                0.82555,              0.0009308,              0.0009308,              0.0009308
                     29,                0.55523,                0.36325,                0.83649,                0.99964,                      1,                  0.995,                0.86431,                0.58096,                0.35112,                0.83537,              0.0008912,              0.0008912,              0.0008912
                     30,                 0.5633,                0.35912,                0.83798,                 0.9994,                      1,                  0.995,                0.85016,                0.61577,                0.33844,                0.83357,              0.0008516,              0.0008516,              0.0008516
                     31,                0.56444,                0.35743,                0.83518,                0.99925,                      1,                  0.995,                0.86899,                0.56102,                0.33489,                0.82832,               0.000812,               0.000812,               0.000812
                     32,                0.53333,                0.34321,                0.82476,                0.99971,                      1,                  0.995,                0.88081,                0.52092,                 0.3068,                0.82222,              0.0007724,              0.0007724,              0.0007724
                     33,                0.55093,                0.35217,                0.83762,                0.99977,                      1,                  0.995,                0.85896,                0.58503,                0.31598,                0.82931,              0.0007328,              0.0007328,              0.0007328
                     34,                0.52945,                0.33764,                0.82773,                0.99975,                      1,                  0.995,                0.86509,                0.57763,                0.31375,                 0.8245,              0.0006932,              0.0006932,              0.0006932
                     35,                0.52561,                0.33781,                0.82591,                0.99976,                      1,                  0.995,                0.87951,                0.55383,                0.32654,                0.83142,              0.0006536,              0.0006536,              0.0006536
                     36,                0.53274,                0.33619,                0.83348,                0.99977,                      1,                  0.995,                0.87734,                0.58173,                0.30616,                0.82269,               0.000614,               0.000614,               0.000614
                     37,                0.54232,                0.33418,                0.83247,                0.99963,                      1,                  0.995,                0.88108,                0.54521,                0.32247,                0.82384,              0.0005744,              0.0005744,              0.0005744
                     38,                0.52601,                 0.3364,                0.82651,                0.99974,                      1,                  0.995,                0.87314,                0.57711,                0.30618,                0.83792,              0.0005348,              0.0005348,              0.0005348
                     39,                0.51017,                0.31765,                0.82208,                0.99964,                      1,                  0.995,                0.87492,                 0.5792,                0.29512,                  0.825,              0.0004952,              0.0004952,              0.0004952
                     40,                0.52355,                0.32085,                0.82606,                0.99649,                      1,                  0.995,                0.87638,                 0.5633,                0.29217,                0.82468,              0.0004556,              0.0004556,              0.0004556
                     41,                0.50198,                0.30175,                 0.8024,                0.99979,                      1,                  0.995,                0.87856,                0.54725,                0.29321,                0.82132,               0.000416,               0.000416,               0.000416
                     42,                0.48438,                0.29578,                 0.8063,                0.99977,                      1,                  0.995,                0.88657,                 0.5053,                0.29407,                0.82048,              0.0003764,              0.0003764,              0.0003764
                     43,                0.46762,                 0.2925,                0.80379,                 0.9987,                      1,                  0.995,                0.88748,                0.52466,                0.29916,                0.81788,              0.0003368,              0.0003368,              0.0003368
                     44,                0.46722,                0.29108,                0.80624,                0.99935,                      1,                  0.995,                0.89228,                 0.5046,                0.29234,                0.81722,              0.0002972,              0.0002972,              0.0002972
                     45,                0.46503,                0.28432,                0.79963,                0.99929,                      1,                  0.995,                  0.896,                0.49664,                0.27561,                0.81611,              0.0002576,              0.0002576,              0.0002576
                     46,                0.44846,                0.27554,                0.79712,                0.99901,                      1,                  0.995,                0.89893,                0.49388,                0.27568,                0.81595,               0.000218,               0.000218,               0.000218
                     47,                0.44511,                0.26852,                0.80467,                0.99647,                      1,                  0.995,                0.90205,                0.49084,                0.27376,                0.81563,              0.0001784,              0.0001784,              0.0001784
                     48,                0.44024,                 0.2734,                0.79623,                0.99646,                      1,                  0.995,                0.89656,                0.49646,                0.27371,                0.81529,              0.0001388,              0.0001388,              0.0001388
                     49,                0.43266,                0.26358,                0.79046,                0.99644,                      1,                  0.995,                0.89383,                 0.4917,                0.26797,                 0.8149,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.42609,                0.25719,                0.79451,                0.99645,                      1,                  0.995,                0.90071,                0.48794,                0.26344,                0.81419,               5.96e-05,               5.96e-05,               5.96e-05
